等级,内容,图片,坐标,道具名,链接
5,特殊FATE-松鼠玩偶服,,,米卡头套,
5,特殊FATE-松鼠玩偶服,,,米卡套装,
4,图莱尤拉,,,,
5,肖像教材1,,,肖像教材：图莱尤拉1,
5,肖像教材2,,,肖像教材：图莱尤拉2,
4,九号解决方案,,,,
5,肖像教材1,,,肖像教材：九号解决方案1,
5,肖像教材1,,,肖像教材：九号解决方案2,
5,霓虹阳伞,,,霓虹阳伞,
4,摩杜纳,,,,
5,坐骑:小鸣鼠,,,小鸣鼠角笛,
5,500图拉尔双色宝石的收据 兑换,,,图拉尔双色宝石的收据,
2,PVP,,,,
3,第六季通行证,,,,
4,5级:爆弹怪阳伞,,,爆弹怪阳伞,
4,10级:肖像:火山之心,,,肖像教材：火山之心,
4,15级:宠物:小巧郊狼,,,小巧郊狼,
4,20级:肖像:机关大殿,,,肖像教材：机关大殿,
4,25级:坐骑:压迫者,,,压迫者,
2,其他,,,,
3,狩猎,,,,
4,坐骑:半机械龟,,,半机械龟认证密钥,
4,宠物:蓝猫,,,蓝猫,
4,鸟甲:野地装甲,,,野地装甲,
4,图莱尤拉(X:11.1 Y:14.6),zuobiao.png,id=855&x=13.8&y=13.5,,
3,房屋,,,,
4,新增房屋强制驱离功能,daoju.png,,,
4,新外墙,,,,
5,乡间别墅外墙,,,乡间别墅外墙,
4,潜水艇,,,,
5,新增目的地,daoju.png,,,
5,等级上限提升至120,daoju.png,,,
3,亲信,,,,
4,追加幻体可露儿,daoju.png,,,
4,幻体100级后，将开放新的幻体投影(泳装),,,,
3,闹钟,,,,
4,可设置数量提升至30,daoju.png,,,
4,名称文字数量提升至20,daoju.png,,,
3,黑名单,,,,
4,拉黑的角色将不会显示,daoju.png,,,
4,拉黑的角色的聊天将不会显示,daoju.png,,,
4,同账号下角色共用黑名单,daoju.png,,,
4,黑名单列表可以进行备注,daoju.png,,,
4,新增关键词过滤器功能,daoju.png,,,
1,我得知道,,,,
2,系统方面,,,,
3,可创建「硌狮族(女性)」角色,,,,
3,无人岛优化,,,,
3,新增面部配饰,,,,
4,可在各城市”失物管理员”处领取学习过的配饰,daoju.png,,,
3,暂时关闭幻巧战,,,,
3,新增DLSS相关调试,,,,
4,配置简述与建议,daoju.png,,,https://ngabbs.com/read.php?tid=40670867,
3,追加装备双染色功能,,,,
4,暂仅支持7.0和部分旧版本装备,daoju.png,,,
3,曼武材料可用诗学兑换,,,,
3,道具分解上限提升至710,,,,
3,解限进本战斗中也能退出,,,,
3,公主王子套解除性别限制,,,,
3,双色宝石上限提升至1500,,,,
4,FATE经验加成对双色宝石也适用,daoju.png,,,
3,特殊FATE也会在地图上显示,,,,
3,武僧、龙骑发动极限技时角色将不再移动,,,,
3,追加新职业的死宫系列&绝欧&零式阿罗岛武器,,,,
3,使用幻想药后，在线时间60分钟内可一直重新捏人,,,,
3,新增功能，可从目的列表图标直接发动情感动作和道具配方,,,,
3,新增系统，不显示任务目标周边其他玩家角色功能,daoju.png,,,
3,系统→角色设置→操作设置→全体,,,,
4,找到对应复选框开启/关闭,daoju.png,,,
