版本,名称,日文,属性,获得方法,使用代码,图片,对目标,无目标,最新绿点
7.41,用沙都风格马克杯喝,,通常,,/uldahnsip,246444,<me>在<t>面前用沙都风格马克杯饮用了潘趣软饮。,<me>用沙都风格马克杯饮用了潘趣软饮。,1,NEW
7.41,用森都风格马克杯喝,,通常,,/gridaniansip,246443,<me>在<t>面前用森都风格马克杯饮用了潘趣软饮。,<me>用森都风格马克杯饮用了潘趣软饮。,1,NEW
7.41,认真看书,,持续,,/study,246442,<me>在<t>面前认真地看起了书。,<me>认真地看起了书。,1,NEW
7.41,玩神典石,,持续,,/tomescroll,246441,<me>在<t>面前玩起了神典石。,<me>玩起了神典石。,1,NEW
7.41,气得发抖,,持续,,/rage,246440,<me>在<t>面前气愤到浑身颤抖。,<me>气愤到浑身颤抖。,1,NEW
7.41,晕头转向,,持续,,/dazed,246439,<me>在<t>面前不禁有些晕头转向。,<me>有些晕头转向。,1,NEW
7.41,转圈,,通常,,/twirl,246438,<me>在<t>面前转了个圈。,<me>转了个圈。,1,NEW
7.41,大惊小怪,,通常,,/overreact,246437,<me>在<t>面前显得有些大惊小怪。,<me>开始大惊小怪起来。,1,NEW
7.41,拍照,,通常,,/photograph,246436,<me>为<t>拍了张照片。,<me>拍了张照片。,1,NEW
7.41,用触控板记录,,通常,,/visage,246435,<me>在<t>面前使用触控板记录了自己的模样。,<me>使用触控板记录了自己的模样。,1,NEW
7.41,噢霍卡利,,通常,,/ohokaliy,246434,<me>向<t>高呼噢霍卡利！,<me>高呼噢霍卡利！,1,NEW
7.41,吹泡泡,,通常,,/blowbubbles,246433,<me>对着<t>吹起了泡泡。,<me>吹起了泡泡。,1,NEW
7.41,赠送花束,,持续,,/bouquet,246432,<me>给<t>送上花束。,<me>送上花束。,1,NEW
7.41,象征自由的姿势,,通常,,/poseoftheunbound,246431,<me>在<t>面前摆出了象征自由的姿势。,<me>摆出了象征自由的姿势。,1,NEW
7.41,调饮,,持续,,/shakedrink,246430,<me>开始在<t>面前摇晃摇壶。,<me>开始摇晃摇壶。,1,NEW
7.41,浇水,,持续,,/water,246429,<me>开始给<t>浇水。,<me>开始浇水。,1,NEW
7.41,待命,,持续,,/attend,246428,<me>开始等待<t>的指示。,<me>开始等待指示。,1,NEW
7.41,扇大团扇,,通常,,/uchiwasshoi,246427,<me>对着<t>用大团扇扇风。,<me>用大团扇扇风。,1,NEW
7.41,煎蛋,,通常,,/fryegg,246426,<me>为<t>烹饪了一份简单美味的煎蛋。,<me>烹饪了一份简单美味的煎蛋。,1,NEW
7.41,大获全胜,,通常,,/victoryreveal,246425,<me>在<t>面前庆祝了胜利。,<me>庆祝了胜利。,1,NEW
7.41,得意洋洋,,通常,,/humbletriumph,246424,<me>在<t>面前得意洋洋地摆出了骄傲的姿势。,<me>得意洋洋地摆出了骄傲的姿势。,1,NEW
7.41,比心,,持续,,/loveheart,246423,<me>通过比心向<t>传达爱意。,<me>通过比心传达爱意。,1,NEW
7.41,垂头丧气,,持续,,/slump,246422,<me>在<t>的面前垂头丧气，提不起一点精神。,<me>垂头丧气，提不起一点精神。,1,NEW
7.41,众生离绝,,持续,,/sundering,246421,<me>向<t>发动了“众生离绝”，没有造成伤害。,<me>跃向高空，发动众生离绝。,1,NEW
7.41,吃炸鸡,,通常,,/eatchicken,246420,<me>在<t>的面前愉快地吃起了炸鸡。,<me>愉快地吃起了炸鸡。,1,NEW
7.41,比对文献,,通常,,/reference,246419,<me>在<t>面前比对了文献。,<me>比对了文献。,1,NEW
7.41,兔兔舞,,持续,,/lophop,246418,<me>在<t>面前跳起了兔兔舞。,<me>跳起了兔兔舞。,1,NEW
7.41,守护天节的魔咒,,通常,,/allsaintscharm,246417,<me>对<t>施展了守护天节的魔咒。,<me>施展了守护天节的魔咒。,1,NEW
7.41,蹦跳声援小绿,,持续,,/cheerjumpgreen,246416,<me>热烈声援<t>。,<me>开始声援。,1,NEW
7.41,挥舞声援小紫,,持续,,/cheerwaveviolet,246415,<me>热烈声援<t>。,<me>开始声援。,1,NEW
7.41,前后声援小白,,持续,,/cheeronbright,246414,<me>热烈声援<t>。,<me>开始声援。,1,NEW
7.41,手抚胸,,通常,,/handtoheart,246413,<me>面向<t>以手抚胸。,<me>以手抚胸。,1,NEW
7.41,雀跃5,,通常,,/jumpforjoy5,246412,<me>在<t>面前开心地跳了起来，动作好像仙人刺。,<me>开心地跳了起来，动作好像仙人刺。,1,NEW
7.41,雀跃4,,通常,,/jumpforjoy4,246411,<me>在<t>面前开心地跳了起来，动作格外舒展。,<me>开心地跳了起来，动作格外舒展。,1,NEW
7.41,雀跃3,,通常,,/jumpforjoy3,246410,<me>在<t>面前开心地跳了起来，跳得格外的高。,<me>开心地跳了起来，跳得格外的高。,1,NEW
7.41,雀跃2,,通常,,/jumpforjoy2,246409,<me>在<t>面前开心地跳了起来，动作格外欢乐。,<me>开心地跳了起来，动作格外欢乐。,1,NEW
7.41,雀跃1,,通常,,/jumpforjoy1,246408,<me>在<t>面前开心地跳了起来，动作格外可爱。,<me>开心地跳了起来，动作格外可爱。,1,NEW
7.41,威光降临,,通常,,/adventoflight,246407,<me>像光之战士一样英勇降临于<t>面前。,<me>像光之战士一样英勇降临。,1,NEW
7.41,吓唬人,,通常,,/frighten,246406,<me>张牙舞爪地吓唬起了<t>。,<me>做出了吓唬人的表情。,1,NEW
7.41,摇兔兔耳,,通常,,/earwiggle,246405,<me>对<t>摇了摇兔兔耳。,<me>摇了摇兔兔耳。,1,NEW
7.41,通讯珠,,通常,,/linkpearl,246404,<me>向<t>展示了通讯珠的用法。,<me>展示了通讯珠的用法。,1,NEW
7.41,公主之舞,,通常,,/littleladiesdance,246403,<me>在<t>面前跳了公主之舞。,<me>跳了公主之舞。,1,NEW
7.41,魔术,,通常,,/magictrick,246402,<me>向<t>表演了魔术。,<me>表演了魔术。,1,NEW
7.41,观战,,持续,,/spirit,246401,<me>开始在<t>面前手舞足蹈地观战。,<me>开始手舞足蹈地观战。,1,NEW
7.41,两眼放光,,通常,,/wow,246400,<me>两眼放光地看向<t>，眼中充满了兴奋与期待。,<me>两眼放光，眼中充满了兴奋与期待。,1,NEW
7.41,叛逆精神,,通常,,/deride,246399,<me>对<t>做了一个鬼脸。,<me>做了一个鬼脸。,1,NEW
7.41,亮出武器,,通常,,/draw,246398,<me>对<t>亮出了武器。,<me>亮出了武器。,1,NEW
7.41,收回武器,,通常,,/sheathe,246397,<me>在<t>的面前收回了武器。,<me>收回了武器。,1,NEW
7.41,展现左侧,,持续,,/showleft,246396,<me>向大家展现<t>的魅力。,<me>向大家展现身边事物的魅力。,1,NEW
7.41,展现右侧,,持续,,/showright,246395,<me>向大家展现<t>的魅力。,<me>向大家展现身边事物的魅力。,1,NEW
7.41,干劲十足,,通常,,/determined,246394,<me>对<t>表示自己干劲十足。,<me>干劲十足。,1,NEW
7.41,饮用红茶,,通常,,/tea,246393,<me>在<t>面前优雅地喝起了红茶。,<me>优雅地喝起了红茶。,1,NEW
7.41,吃水煮蛋,,通常,,/eategg,246392,<me>在<t>面前愉快地吃起了水煮蛋。,<me>愉快地吃起了水煮蛋。,1,NEW
7.41,抱头,,通常,,/clutchhead,246391,<me>为<t>伤透了脑筋。,<me>伤透了脑筋。,1,NEW
7.41,吃恋人巧克力,,通常,,/eatchocolate,246390,<me>开始在<t>面前品尝恋人巧克力，仿佛有种人生赢家的味道。,<me>开始品尝恋人巧克力，仿佛有种恋爱的味道。,1,NEW
7.41,吃南瓜曲奇,,通常,,/eatpumpkincookie,246389,<me>在<t>面前有滋有味地吃起了南瓜曲奇。,<me>有滋有味地吃起了南瓜曲奇。,1,NEW
7.41,吃披萨,,通常,,/eatpizza,246388,<me>在<t>的面前愉快地吃起了披萨。,<me>愉快地吃起了披萨。,1,NEW
7.41,嘘,,通常,,/shush,246387,<me>提醒<t>保持安静。,<me>提醒周围保持安静。,1,NEW
7.41,困惑,,通常,,/vexed,246386,<me>对<t>的言行举止感到困惑。,<me>感到困惑。,1,NEW
7.41,默剧,,通常,,/pantomime,246385,<me>为<t>表演起了默剧。,<me>表演起了默剧。,1,NEW
7.41,蓝色陆行鸟之笔,,通常,,/paintblue,246384,<me>当着<t>的面将脚下涂成了一片碧蓝。,<me>将自己的脚下涂成了一片碧蓝。,1,NEW
7.41,黄色陆行鸟之笔,,通常,,/paintyellow,246383,<me>当着<t>的面将脚下涂成了一片奶黄。,<me>将自己的脚下涂成了一片奶黄。,1,NEW
7.41,红色陆行鸟之笔,,通常,,/paintred,246382,<me>当着<t>的面将脚下涂成了一片粉红。,<me>将自己的脚下涂成了一片粉红。,1,NEW
7.41,黑色陆行鸟之笔,,通常,,/paintblack,246381,<me>当着<t>的面将脚下涂成了一片漆黑。,<me>将自己的脚下涂成了一片漆黑。,1,NEW
7.41,扫地,,持续,,/sweep,246380,<me>开始为<t>清扫地面。,<me>开始扫地。,1,NEW
7.41,搓手,,持续,,/wringhands,246379,<me>在<t>面前搓起了手。,<me>搓起了手。,1,NEW
7.41,吃苹果,,通常,,/eatapple,246378,<me>在<t>面前悠闲地吃起了苹果。,<me>悠闲地吃起了苹果。,1,NEW
7.41,吃饭团,,通常,,/eatriceball,246377,<me>在<t>面前大口地吃起了饭团。,<me>大口地吃起了饭团。,1,NEW
7.41,啦哩吼舞,,持续,,/lalihop,246376,<me>在<t>面前跳起了啦哩吼舞。,<me>跳起了啦哩吼舞。,1,NEW
7.41,蜜蜂之舞,,持续,,/beesknees,246375,<me>在<t>面前跳起了蜜蜂之舞。,<me>跳起了蜜蜂之舞。,1,NEW
7.41,诅咒,,持续,,/malevolence,246374,<me>诅咒了<t>。,<me>满脸恶意地诅咒着。,1,NEW
7.41,巡视,,持续,,/guard,246373,<me>对<t>周围进行巡视。,<me>巡视四周。,1,NEW
7.41,击掌,,通常,,/highfive,246372,<me>与<t>默契地击掌。,<me>做出了击掌的动作。,1,NEW
7.41,火焰之舞,,持续,,/flamedance,246371,<me>在<t>面前跳起了火焰之舞。,<me>跳起了火焰之舞。,1,NEW
7.41,花雨,,通常,,/flowershower,246370,<me>在<t>面前撒下了一片花雨。,<me>沐浴在花雨中。,1,NEW
7.41,嘿哟,,持续,,/wasshoi,246369,<me>对着<t>嘿哟嘿哟鼓起劲来。,<me>嘿哟嘿哟鼓起劲来。,1,NEW
7.41,坚持主张,,通常,,/insist,246368,<me>对<t>发表了自己的主张。,<me>发表了自己的主张。,1,NEW
7.41,疑问,,通常,,/consider,246367,<me>对<t>产生了疑问。,<me>心怀疑问。,1,NEW
7.41,看书,,通常,,/read,246366,<me>在<t>面前悠闲地看起了书。,<me>悠闲地看起了书。,1,NEW
7.41,吃面包,,通常,,/breakfast,246365,<me>在<t>面前优雅地吃起了面包。,<me>优雅地吃起了面包。,1,NEW
7.41,打响指,,通常,,/snap,246364,<me>对<t>华丽地打了个响指。,<me>华丽地打了个响指。,1,NEW
7.41,背靠,,持续,,/lean,246363,,,1,NEW
7.41,头痛,,通常,,/headache,246362,<me>对<t>感到头疼露出了苦相。,<me>因头痛而面露苦相。,1,NEW
7.41,干杯,,通常,,/toast,246361,<me>向<t>举起杯子想要碰撞一下。,<me>高举杯子一饮而尽。,1,NEW
7.41,欧米茄F架势,,持续,,/simulationf,246360,<me>对<t>做出了欧米茄F的架势。,<me>做出了欧米茄F的架势。,1,NEW
7.41,欧米茄M架势,,持续,,/simulationm,246359,<me>对<t>做出了欧米茄M的架势。,<me>做出了欧米茄M的架势。,1,NEW
7.41,啦哩吼,,通常,,/laliho,246358,<me>向<t>道了声啦哩吼。,<me>啦哩吼了一下。,1,NEW
7.41,绅士舞步,,持续,,/mandervillemambo,246357,<me>对<t>非常绅士地跳起了舞。,<me>跳起了绅士舞步。,1,NEW
7.41,优雅仙人刺,,通常,,/sabotender,246356,<me>对<t>模仿起了仙人刺。,<me>优雅地模仿起了仙人刺。,1,NEW
7.41,提醒,,持续,,/reprimand,246355,<me>提醒<t>注意。,<me>提醒起了周围的人。,1,NEW
7.41,振作精神,,通常,,/fistpump,246354,<me>为<t>鼓劲。,<me>振作起了精神。,1,NEW
7.41,心意,,通常,,/gratuity,246353,<me>对<t>撒钱以示心意。,<me>撒了一把钱以示心意。,1,NEW
7.41,古菩步,,持续,,/goobbuedo,246352,<me>对<t>跳起了古菩步。,<me>跳起了古菩步。,1,NEW
7.41,趾踵步,,持续,,/heeltoe,246351,<me>对<t>跳起了趾踵步。,<me>跳起了趾踵步。,1,NEW
7.41,神典石,,通常,,/tomestone,246350,<me>开始在<t>面前欣赏神典石。,<me>开始欣赏神典石。,1,NEW
7.41,说明计划,,持续,,/scheme,246349,<me>向<t>说明自己的计划。,<me>讲起了自己的计划。,1,NEW
7.41,确认,,持续,,/confirm,246348,<me>开始对<t>进行确认。,<me>开始进行确认。,1,NEW
7.41,哼歌,,持续,,/hum,246347,<me>为<t>哼唱了一首歌。,<me>开始哼唱一首歌。,1,NEW
7.41,波波托步,,持续,,/popotostep,246346,<me>对<t>跳起了波波托步。,<me>跳起了波波托步。,1,NEW
7.41,幻想舞步,,持续,,/getfantasy,246345,<me>对<t>跳起了幻想舞步。,<me>跳起了幻想舞步。,1,NEW
7.41,说明,,通常,,/elucidate,246344,<me>对<t>进行了说明。,<me>进行了说明。,1,NEW
7.41,好冷,,持续,,/shiver,246343,<me>觉得<t>好冷。,<me>感觉好冷。,1,NEW
7.41,好热,,持续,,/sweat,246342,<me>感觉热意从<t>身上扑面而来。,<me>觉得好热。,1,NEW
7.41,撩水,,通常,,/splash,246341,<me>向<t>撩起水花。,<me>撩起了水花。,1,NEW
7.41,胡鹰之舞,,持续,,/yoldance,246340,<me>在<t>面前开始跳起了胡鹰之舞。,<me>跳起了胡鹰之舞。,1,NEW
7.41,究极,,特别,,/ultima,246339,<me>向<t>展现了究极的力量。,<me>展开双翼，发动究极！,1,NEW
7.41,侧步,,持续,,/sidestep,246338,<me>在<t>面前秀起了侧步。,<me>跳起了侧步。,1,NEW
7.41,方形步,,持续,,/boxstep,246337,<me>对着<t>跳起了方形步。,<me>踩着方形步翩翩起舞。,1,NEW
7.41,打招呼,,通常,,/greet,246336,<me>向<t>打招呼。,<me>打了个招呼。,1,NEW
7.41,大吃一惊,,通常,,/aback,246335,<t>令<me>大吃一惊。,<me>大吃了一惊。,1,NEW
7.41,单膝跪地,,持续,,/winded,246334,<me>在<t>面前单膝跪地。,<me>单膝跪地。,1,NEW
7.41,害怕,,持续,,/tremble,246333,<me>被<t>吓得抱住了头。,<me>害怕地抱住了头。,1,NEW
7.41,蹦跳声援小红,,持续,,/cheerjumpred,246332,<me>热烈声援<t>。,<me>开始声援。,1,NEW
7.41,挥舞声援小黄,,持续,,/cheerwaveyellow,246331,<me>热烈声援<t>。,<me>开始声援。,1,NEW
7.41,前后声援小蓝,,持续,,/cheeronblue,246330,<me>热烈声援<t>。,<me>开始声援。,1,NEW
7.41,魅惑拥抱,,持续,,/charmed,246329,<me>被<t>迷得神魂颠倒。,<me>中了魅惑拥抱。,1,NEW
7.41,练武,,通常,,/crimsonlotus,246328,<me>在<t>面前练起武来。,<me>开始练武。,1,NEW
7.41,百万核爆,,特别,,/megaflare,246327,<me>对<t>使用了“百万核爆”，没有造成伤害。,<me>放出了核爆般的光芒。,1,NEW
7.41,祝祷,,持续,,/ritualprayer,246324,<me>开始为<t>祝祷。,<me>开始祝祷。,1,NEW
7.41,练拳,,持续,,/box,246323,<me>对<t>一个右直拳接一个左勾拳。,<me>练起了拳。,1,NEW
7.41,稍息,,持续,,/atease,246322,<me>对<t>做出了稍息的姿势。,<me>做出了稍息的姿势。,1,NEW
7.41,立正,,持续,,/attention,246321,<me>对<t>做出了立正的姿势。,<me>做出了立正的姿势。,1,NEW
7.41,说话,,通常,,/converse,246320,<me>和<t>说起了话。,<me>说起了话。,1,NEW
7.41,深呼吸,,持续,,/breathcontrol,246319,<me>在<t>面前做起了深呼吸。,<me>做起了深呼吸。,1,NEW
7.41,仰卧起坐,,持续,,/situps,246318,<me>在<t>面前做起了仰卧起坐。,<me>做起了仰卧起坐。,1,NEW
7.41,俯卧撑,,持续,,/pushups,246317,<me>在<t>面前做起了俯卧撑。,<me>做起了俯卧撑。,1,NEW
7.41,深蹲,,持续,,/squats,246316,<me>在<t>面前做起了深蹲。,<me>做起了深蹲。,1,NEW
7.41,行东方礼,,通常,,/easternbow,246315,<me>恭敬地对<t>行了东方礼。,<me>恭敬地行了东方礼。,1,NEW
7.41,蓄力迸发,,通常,,/powerup,246314,<me>对着<t>爆气。,<me>开始蓄力。,1,NEW
7.41,水中翻跟头,,通常,,/waterflip,246313,,,1,NEW
7.41,浮水,,持续,,/waterfloat,246312,,,1,NEW
7.41,小黄莺之舞,,持续,,/songbird,246311,<me>在<t>面前跳起了小黄莺之舞。,<me>跳起了小黄莺之舞。,1,NEW
7.41,托眼镜,,通常,,/spectacles,246310,<me>在<t>面前调整了一下眼镜的位置。,<me>调整了一下眼镜的位置。,1,NEW
7.41,表达爱意,,通常,,/dote,246309,<me>对<t>表达了爱意。,<me>表达了爱意。,1,NEW
7.41,日月之舞,,持续,,/moonlift,246308,<me>在<t>面前跳起了日月之舞。,<me>跳起了日月之舞。,1,NEW
7.41,寒冰的幻想,,特别,,/iceheart,246307,<me>在<t>面前与冰共舞。,<me>与冰共舞。,1,NEW
7.41,装死,,持续,,/playdead,246306,<me>开始在<t>面前装死。,<me>开始装死。,1,NEW
7.41,撒娇,,通常,,/prettyplease,246305,<me>向<t>撒起了娇。,<me>撒起了娇。,1,NEW
7.41,默哀,,通常,,/respect,246304,<me>为<t>默哀。,<me>献上了默哀。,1,NEW
7.41,肉体之美,,通常,,/flex,246303,<me>对<t>炫耀自己肉体的美感。,<me>炫耀自己肉体的美感。,1,NEW
7.41,斩铁剑,,特别,,/zantetsuken,246302,<me>在<t>面前斩裂了空间。,<me>斩裂了空间。,1,NEW
7.41,捂脸,,通常,,/facepalm,246301,<me>在<t>面前捂住了脸。,<me>捂住了脸。,1,NEW
7.41,战队演武逆黄三式,,持续,,/rangerpose3l,246299,<me>对<t>摆出了战队演武逆黄三式的造型。,<me>摆出了战队演武逆黄三式的造型。,1,NEW
7.41,战队演武逆黑二式,,持续,,/rangerpose2l,246298,<me>对<t>摆出了战队演武逆黑二式的造型。,<me>摆出了战队演武逆黑二式的造型。,1,NEW
7.41,战队演武逆红一式,,持续,,/rangerpose1l,246297,<me>对<t>摆出了战队演武逆红一式的造型。,<me>摆出了战队演武逆红一式的造型。,1,NEW
7.41,战队演武正黄三式,,持续,,/rangerpose3r,246296,<me>对<t>摆出了战队演武正黄三式的造型。,<me>摆出了战队演武正黄三式的造型。,1,NEW
7.41,战队演武正黑二式,,持续,,/rangerpose2r,246295,<me>对<t>摆出了战队演武正黑二式的造型。,<me>摆出了战队演武正黑二式的造型。,1,NEW
7.41,战队演武正红一式,,持续,,/rangerpose1r,246294,<me>对<t>摆出了战队演武正红一式的造型。,<me>摆出了战队演武正红一式的造型。,1,NEW
7.41,东方传统舞蹈,,持续,,/easterndance,246293,<me>在<t>面前跳起了东方传统舞蹈。,<me>跳起了东方传统舞蹈。,1,NEW
7.41,热身,,通常,,/easternstretch,246292,<me>在<t>面前做起了热身动作。,<me>做起了热身动作。,1,NEW
7.41,太棒了！,,通常,,/haurchefant,246291,<me>觉得<t>太棒了。,<me>表示太棒了。,1,NEW
7.41,莫古莫古舞,,持续,,/mogdance,246290,<me>在<t>面前跳起了莫古莫古舞。,<me>跳起了莫古莫古舞。,1,NEW
7.41,灵光一现,,通常,,/eureka,246289,<me>看着<t>脑海里突然灵光一现。,<me>脑海里突然灵光一现。,1,NEW
7.41,抱拳礼,,通常,,/easterngreeting,246288,<me>对<t>行了一个抱拳礼。,<me>行了一个抱拳礼。,1,NEW
7.41,后空翻,,通常,,/backflip,246287,<me>给<t>做了一个后空翻。,<me>做了一个后空翻。,1,NEW
7.41,欢呼胜利,,通常,,/victorypose,246286,<me>对<t>传达着胜利的喜悦。,<me>传达着胜利的喜悦。,1,NEW
7.41,准备战斗,,通常,,/battlestance,246285,<me>对<t>做出了战斗的准备动作。,<me>做出了战斗的准备动作。,1,NEW
7.41,太阳之舞,,持续,,/sundance,246284,<me>在<t>面前跳起了太阳之舞。,<me>跳起了太阳之舞。,1,NEW
7.41,黄金之舞,,持续,,/golddance,246283,<me>在<t>面前跳起了黄金之舞。,<me>跳起了黄金之舞。,1,NEW
7.41,萨维奈舞,,持续,,/thavdance,246282,<me>在<t>面前跳起了萨维奈舞。,<me>跳起了萨维奈舞。,1,NEW
7.41,对拳,,通常,,/fistbump,246280,<me>向<t>伸出了拳头想要对碰一下。,<me>出了一拳。,1,NEW
7.41,绅士风度,,持续,,/hildibrand,246279,<me>向<t>做出了最具有绅士风度的动作。,<me>做出了最具有绅士风度的动作。,1,NEW
7.41,深情拥抱,,通常,,/embrace,246278,<me>深情拥抱了<t>。,<me>做出了深情拥抱的动作。,1,NEW
7.41,拥抱,,通常,,/hug,246277,<me>拥抱了<t>一下。,<me>做出了拥抱的动作。,1,NEW
7.41,甩巴掌,,通常,,/slap,246276,<me>甩了<t>一巴掌。,<me>甩了一巴掌。,1,NEW
7.41,胜利欢呼,,通常,,/hurray,246275,<me>在<t>面前做出了胜利的欢呼！,<me>做出了胜利的欢呼！,1,NEW
7.41,火盆舞,,持续,,/bombdance,246274,<me>在<t>面前跳起了火盆舞。,<me>跳起了火盆舞。,1,NEW
7.41,递交,,通常,,/handover,246273,<me>交给了<t>什么东西。,<me>交出了什么东西。,1,NEW
7.41,绅士之舞,,持续,,/mandervilledance,246272,<me>在<t>面前跳起了绅士之舞。,<me>跳起了绅士之舞。,1,NEW
7.41,宫廷之舞,,持续,,/balldance,246271,<me>在<t>面前跳起了宫廷之舞。,<me>跳起了宫廷之舞。,1,NEW
7.41,丰饶之舞,,持续,,/harvestdance,246270,<me>在<t>面前跳起了丰饶之舞。,<me>跳起了丰饶之舞。,1,NEW
7.41,踢踏舞,,持续,,/stepdance,246269,<me>在<t>面前跳起了踢踏舞。,<me>跳起了踢踏舞。,1,NEW
7.41,改变姿势,,特别,,/changepose,246268,,,1,NEW
7.41,抚摸,,通常,,/stroke,246267,<me>轻轻地抚摸<t>。,<me>做出了抚摸的动作。,1,NEW
7.41,帝国式军礼,,通常,,/imperialsalute,246266,<me>对<t>行帝国式军礼。,<me>行帝国式军礼。,1,NEW
7.41,头部装备操作,,特别,,/visor,246265,,,1,NEW
7.41,祈祷,,通常,,/pray,246264,<me>向<t>祈祷。,<me>向众神祈祷。,1,NEW
7.41,引用,,通常,,/airquotes,246263,,,1,NEW
7.41,坐下,,特别,,/lounge,246256,,,1,NEW
7.41,坐下到地上,,特别,,/groundsit,246254,,,1,NEW
7.41,大失所望,,通常,,/disappointed,246253,<me>对<t>表示自己非常沮丧。,<me>表示自己非常沮丧。,1,NEW
7.41,欣喜若狂,,通常,,/happy,246252,<me>对<t>表示自己非常高兴。,<me>表示自己非常高兴。,1,NEW
7.41,下跪认错,,通常,,/grovel,246251,<me>对<t>下跪认错。,<me>下跪认错。,1,NEW
7.41,投掷,,通常,,/throw,246250,<me>向<t>投出了什么东西。,<me>投出了什么东西。,1,NEW
7.41,飞吻,,通常,,/blowkiss,246249,<me>对<t>送出飞吻。,<me>送出了飞吻。,1,NEW
7.41,恒辉队军礼,,通常,,/gcsalute,246248,<me>对<t>行恒辉队军礼。,<me>行恒辉队军礼。,1,NEW
7.41,双蛇党军礼,,通常,,/gcsalute,246247,<me>对<t>行双蛇党军礼。,<me>行双蛇党军礼。,1,NEW
7.41,黑涡团军礼,,通常,,/gcsalute,246246,<me>对<t>行黑涡团军礼。,<me>行黑涡团军礼。,1,NEW
7.41,摆造型,,通常,,/pose,246245,<me>对着<t>摆出了诱人的姿势。,<me>在原地摆出了诱人的姿势。,1,NEW
7.41,自视,,通常,,/examineself,246244,<me>在<t>面前查看自己的样子。,<me>查看自己的样子。,1,NEW
7.41,肯定,,通常,,/thumbsup,246243,<me>向<t>表示肯定。,<me>表示肯定。,1,NEW
7.41,点头,,通常,,/yes,246242,<me>向<t>点头。,<me>原地点头。,1,NEW
7.41,欢迎,,通常,,/welcome,246241,<me>对<t>表示欢迎。,<me>表示欢迎。,1,NEW
7.41,失望,,通常,,/upset,246240,<me>对<t>非常失望。,<me>非常失望。,1,NEW
7.41,思考,,通常,,/think,246239,<me>在想关于<t>的问题。,<me>在思考问题。,1,NEW
7.41,愠怒,,通常,,/sulk,246238,<me>对<t>有些不高兴。,<me>在生闷气。,1,NEW
