等级,内容,图片,坐标,道具名,链接
4,遮蔽物追加,daoju.png,,,
4,医疗包位置修改,daoju.png,,,
4,湍流路线修改,daoju.png,,,
3,赤土红沙,,,,
4,医疗包位置修改,daoju.png,,,
4,流沙数量由2改为1,daoju.png,,,
3,第七季通行证,,,,
4,Lv05-演技教材·待命,,,演技教材·待命,
4,Lv10-肖像教材：尘封秘岩,,,肖像教材：尘封秘岩,
4,Lv15-宠物：精金石神兵,,,精金石神兵,
4,Lv20-肖像教材：赤土红沙,,,肖像教材：赤土红沙,
4,Lv25-宽松街头装备箱,,,宽松街头装备箱,
2,综合,,,,
3,初学者学堂,,,,
4,初学者戒指,daoju.png,,初学者戒指,
3,房屋,,,,
4,可以变更房屋的柱子、楼梯等样式,daoju.png,,,
5,更改内装潢,,,,
3,狩猎,,,,
4,坐骑：腕龙角笛,,,腕龙角笛,
4,怪物狩猎的战利品x3200,daoju.png,,,
3,幻想药,,,幻想药,
4,对话获得,071141.tex.png,,,
4,流浪的莫古力,npc.png,,,
4,格里达尼亚旧街(X:10.7 Y:6.4),zuobiao.png,id=3&x=10.7&y=6.4,,
4,没错又送一瓶,daoju.png,,,
3,友好部族,,,,
4,信赖,,,,
5,乐谱：旅行公司,,,管弦乐琴乐谱：旅行公司,
5,宠物：佩鲁佩鲁族玩偶,,,佩鲁佩鲁族玩偶,
4,尊敬-坐骑：海牛角笛,,,海牛角笛,
4,名誉-配饰：佩鲁佩鲁族背包,,,佩鲁佩鲁族背包,
4,誓约-肖像教材：佩鲁佩鲁族,,,肖像教材：佩鲁佩鲁族,
4,血誓-外观：佩鲁佩鲁突骑帽,,,佩鲁佩鲁突骑帽,
3,24人,,,,
4,大量乐谱交换,,,,
4,不可思议的哥布林族,npc.png,,,
4,朱诺下层(X:6.5 Y:5.2),zuobiao.png,id=3&x=6.5&y=5.2,,
3,24灭,,,,
4,7.15更新,daoju.png,,,
5,发型：半双马尾,,,发型样式：半双马尾,
5,宠物：淡闇の雲,,,淡闇の雲,
5,坐骑：暗闇の羽衣,,,暗闇の羽衣,
5,坐骑：暗黒領域,,,暗黒領域,
4,低保兑换,daoju.png,,,
5,瓦赫赛帕,npc.png,,,
5,九号解决方案(X: 8.6 Y: 13.5),zuobiao.png,id=856&x=8.6&y=13.5,,
3,挖宝,,,,
4,狞豹革,daoju.png,,,
4,幻梦武器箱,,,幻梦武器箱,
4,乐谱：暗夜投石,,,管弦乐琴乐谱：暗夜投石,
4,宠物：金曦绿茵号,,,金曦绿茵号,
4,家具：加加财富树,,,加加财富树,
4,面部配饰：猫眼眼镜,,,面部配饰：猫眼眼镜,
4,面部配饰：窄框眼镜,,,面部配饰：窄框眼镜,
4,发型：微卷短发,,,发型样式：微卷短发,
4,富婆衣-灯芯绒布,,,灯芯绒布,
5,冬季护耳帽,,,冬季护耳帽,
5,冬季宽松夹克,,,冬季宽松夹克,
5,冬季宽松直筒裤,,,冬季宽松直筒裤,
5,冬季皮鞋,,,冬季皮鞋,
5,冬季紧身短裙,,,冬季紧身短裙,
3,成就币,,,,
4,肖像教材：黄金港1,,,肖像教材：黄金港1,
4,肖像教材：黄金港2,,,肖像教材：黄金港2,
4,肖像教材：神拳痕1,,,肖像教材：神拳痕1,
4,肖像教材：神拳痕2,,,肖像教材：神拳痕2,
4,面部配饰：鼻眼镜,,,面部配饰：鼻眼镜,
4,面部配饰：黄铜护目镜,,,面部配饰：黄铜护目镜,
4,演技教材·浇水,,,演技教材·浇水,
4,[7.11]乐谱：忘却的此岸（古裔今罪：乐团版）,,,管弦乐琴乐谱：忘却的此岸（古裔今罪：乐团版）,
4,[7.11]乐谱：被分割的光,,,管弦乐琴乐谱：被分割的光,
3,潜水艇,,,,
4,等级由120 提高为 125,daoju.png,,,
4,新的目的地,daoju.png,,,
5,紫礁海-T → 苍茫浅滩-A,,,,
4,新道具追加,daoju.png,,,
4,苍茫浅滩-A,,,,
5,乐谱：自然的礼物,daoju.png,,管弦乐琴乐谱：自然的礼物,
4,苍茫浅滩-B,,,,
5,素材：香木屑,daoju.png,,香木屑,
4,苍茫浅滩-C,,,,
5,宠物：小小巨嘴鸟,daoju.png,,小小巨嘴鸟,
4,苍茫浅滩-D,,,,
5,家具：实验桌,daoju.png,,实验桌,
4,苍茫浅滩-E,,,,
5,家具：旧化的舷窗,daoju.png,,旧化的舷窗,
4,苍茫浅滩-F,,,,
5,宠物：脊龙,daoju.png,,脊龙,
4,苍茫浅滩-G,,,,
5,家具：抱石攀岩隔离墙,daoju.png,,抱石攀岩隔离墙,
3,生产采集,,,,
4,生产,,,,
5,钻石神兵生产光武,daoju.png,,,
5,皓光系列武器,,,,
4,采集,,,,
5,坐骑：酒桶刺笛,,,酒桶刺笛,
5,特殊商品兑换员,npc.png,,,
5,九号解决方案(X:22.3 Y:17.1),zuobiao.png,id=856&x=9.2&y=13.2,,
5,坐骑的交换票据x100（采集橙票）,daoju.png,,,
3,天书幻巧,,,,
4,幻巧叶x600/金奖x1,,,,
5,坐骑：商贾神威魔笛,,,商贾神威魔笛,
4,幻巧叶x400,,,,
5,宠物：铁皮士兵S3,,,铁皮士兵S3,
4,幻巧叶x350/银奖x1,,,,
5,外观：羊驼耳坠,,,羊驼耳坠,
5,外观：羊驼围脖,,,羊驼围脖,
4,银奖x2,,,,
5,家具：故事书长椅,,,故事书长椅,
5,肖像教材：伊修加德1,,,肖像教材：伊修加德1,
5,肖像教材：伊修加德2,,,肖像教材：伊修加德2,
5,肖像教材：田园郡1,,,肖像教材：田园郡1,
5,肖像教材：田园郡2,,,肖像教材：田园郡2,
3,双色宝石,,,,
4,克扎玛乌卡湿地,,,,
5,乐谱：艳彩的宝饰(450),,,管弦乐琴乐谱：艳彩的宝饰,
4,亚克特尔树海,,,,
5,乐谱：森林与地底的交界(450),,,管弦乐琴乐谱：森林与地底的交界,
4,九号解决方案,,,,
5,家具：全息显示器(200),,,全息显示器,
4,奥阔帕恰山,,,,
5,乐谱：山峡夜风(450),,,管弦乐琴乐谱：山峡夜风,
4,夏劳尼荒野,,,,
5,乐谱：青烟野蔓(450),,,管弦乐琴乐谱：青烟野蔓,
5,幻卡：得酷热涅(300),,,九宫幻卡：得酷热涅,
4,活着的记忆,,,,
5,乐谱：久远的遗音(450),,,管弦乐琴乐谱：久远的遗音,
5,幻卡：亩鼠米卡(300),,,九宫幻卡：亩鼠米卡,
4,遗产之地,,,,
5,乐谱：阴天雷云(450),,,管弦乐琴乐谱：阴天雷云,
4,图莱尤拉,,,,
5,乐谱：金曦之明(450),,,管弦乐琴乐谱：金曦之明,
4,旧萨雷安,,,,
5,配饰：拾穗人的背包(100),,,拾穗人的背包,
5,肖像教材：旧萨雷安1(600),,,肖像教材：旧萨雷安1,
5,肖像教材：旧萨雷安2(600),,,肖像教材：旧萨雷安2,
4,拉札罕,,,,
5,肖像教材：拉札罕1(600),,,肖像教材：拉札罕1,
5,肖像教材：拉札罕2(600),,,肖像教材：拉札罕2,
4,水晶都,,,,
5,肖像教材：水晶都1(600),,,肖像教材：水晶都1,
5,肖像教材：水晶都2(600),,,肖像教材：水晶都2,
4,游末邦,,,,
5,肖像教材：游末邦1(600),,,肖像教材：游末邦1,
5,肖像教材：游末邦2(600),,,肖像教材：游末邦2,
3,金碟,,,,
4,追加NPC的「多玛方城战语音」功能,,,,
4,设置方法「角色」→「金碟」→「方城战」→「方城战语音」,daoju.png,,,
4,仅自身可以播放语音，对局对手无法播放,daoju.png,,,
3,其他,,,,
4,乐谱：仙灵战斗,,,管弦乐琴乐谱：仙灵战斗,
4,瓦赫赛帕,npc.png,,,
4,九号解决方案(X: 8.6 Y: 13.5),zuobiao.png,id=856&x=8.6&y=13.5,,
4,亩鼠米卡的齿轮x2交换,daoju.png,,亩鼠米卡的齿轮,
3,鱼王,,,,
4,克扎玛乌卡湿地,,,,
5,哈努水边,zuobiao.png,,,
5,锅盖蟹,,,锅盖蟹,
4,亚克特尔树海,,,,
5,钓神基富天坑,zuobiao.png,,,
5,余痕丽鱼,,,余痕丽鱼,
5,冥境天坑,zuobiao.png,,,
5,星尘睡鱼,,,星尘睡鱼,
4,九号解决方案,,,,
5,居住区域,zuobiao.png,,,
5,像素鳅,,,像素鳅,
4,奥阔帕恰山,,,,
5,沉星浮泪的池,zuobiao.png,,,
5,抓月虾,,,抓月虾,
4,夏劳尼荒野,,,,
5,佐戈海峡东侧,zuobiao.png,,,
5,云旗鱼,,,云旗鱼,
5,尼葵瑞皮河,zuobiao.png,,,
5,灰达尤南丽鱼,,,灰达尤南丽鱼,
4,遗产之地,,,,
5,终流地,zuobiao.png,,,
5,雷流鳟,,,雷流鳟,
4,图莱尤拉,,,,
5,休喙泉,zuobiao.png,,,
5,财神蛙,,,财神蛙,
,,,,,
2,系统,,,,
3,「天灾之翼」「奇迹之翼]的道具图标修改,daoju.png,,,
3,投影台追加「组合幻影化]功能,daoju.png,,,
3,小队列表进行一下追加或修改,daoju.png,,,
4,将可以更改自身角色的位置,daoju.png,,,
4,"组成小队时,自身角色编号的显示样式修改",daoju.png,,,
4,将可以通过鼠标的拖放进行排序,daoju.png,,,
3,"【重点】小队队员全员位于同一地区时,跨服小队将可以修改为服务器内小队",,,,
3,「临危受命」「寻宝」「怪物狩猎」将支持跨服小队招募,daoju.png,,,
3,进行套装的更新和切换时，将可以更新个人肖像,daoju.png,,,
3,"【重点】※更新界面的显示设置为关时,不会自动更新【不要打钩】",,,,
